Pid	Burst	Arrval	Prioriyy	AgeIndx
1	1	1179	22		8	
2	66	4099	77		25	
3	13	3908	2		13	
4	16	6118	29		11	
5	30	6270	65		10	
6	11	3023	36		21	
7	44	6198	56		10	
8	-8	7807	7		25	
9	5	-1	41		29	
10	33	3371	32		23	
11	83	2941	93		12	
12	13	5549	14		18	
13	78	3167	6		8	
14	61	3814	24		4	
15	38	8513	70		13	
16	89	691	41		29	
17	51	2854	98		10	
18	11	6703	45		27	
19	24	7206	10		13	
20	35	6122	12		15	
21	44	871	73		2	
22	98	3996	31		4	
23	86	756	44		19	
24	94	618	74		25	
25	46	7043	94		6	
26	47	2359	6		16	
27	72	8173	12		3	
28	84	3785	98		5	
29	55	3697	84		19	
30	74	5357	72		2	
31	90	7247	27		1	
32	80	4333	37		18	
33	17	6746	32		11	
34	8	8192	17		5	
35	52	969	33		8	
36	61	9689	71		27	
37	11	9895	20		7	
38	63	9874	48		19	
39	77	6293	10		1	
40	57	3258	56		20	
41	98	4023	44		20	
42	71	6917	15		30	
43	19	6406	82		11	
44	45	4078	13		4	
45	12	1843	12		11	
46	13	3891	82		27	
47	79	1949	87		7	
48	78	9881	48		24	
49	88	2842	94		6	
50	48	8782	78		25	
51	19	2920	49		11	
52	93	8672	23		23	
53	34	9063	47		6	
54	38	1895	98		28	
55	29	5292	89		24	
56	73	5927	84		10	
57	82	6080	60		11	
58	54	2623	95		19	
59	87	98	68		7	
60	68	5020	5		3	
61	74	8318	47		19	
62	93	6709	41		24	
63	32	1690	80		3	
64	76	1801	24		14	
65	64	4937	88		9	
66	83	1203	35		6	
67	22	8750	13		5	
68	1	6939	28		12	
69	53	9465	39		26	
70	79	827	63		4	
71	53	9652	68		1	
72	5	890	65		30	
73	77	4445	19		9	
74	100	6421	8		21	
75	77	4625	6		5	
76	98	2475	62		1	
77	63	7148	38		22	
78	43	9335	91		26	
79	77	5957	94		23	
80	87	3505	32		27	
81	31	8023	85		8	
82	35	7450	96		28	
83	14	115	90		17	
84	79	8678	64		2	
85	82	3710	29		28	
86	99	9558	1		24	
87	13	3825	87		19	
88	36	3023	68		6	
89	79	6252	88		3	
90	84	7512	80		15	
91	43	3055	54		19	
92	81	4427	68		18	
93	66	1649	83		1	
94	83	8536	3		25	
95	39	9778	2		6	
96	94	4116	58		4	
97	44	9415	5		13	
98	52	4649	66		30	
99	53	5323	19		12	
100	96	5448	42		17
